size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
64,2,1,1000,8192,0,0,l2,0.91213,859,10
64,2,1,1000,8192,0,0,cos,0.90613,859,10
128,2,1,1000,8192,0,0,l2,0.90897,265,10
128,2,1,1000,8192,0,0,cos,0.90911,243,10
64,2,2,1000,8192,0,0,l2,0.91420,149,10
64,2,2,1000,8192,0,0,cos,0.91034,152,10
128,2,2,1000,8192,0,0,l2,0.90422,28,10
128,2,2,1000,8192,0,0,cos,0.90673,28,10
64,2,5,1000,8192,0,0,l2,0.90495,32,10
64,2,5,1000,8192,0,0,cos,0.90284,970,10
128,2,5,1000,8192,0,0,l2,0.91339,912,10
128,2,5,1000,8192,0,0,cos,0.91494,975,10
64,2,8,1000,8192,0,0,l2,0.90915,374,10
64,2,8,1000,8192,0,0,cos,0.91017,412,10
128,2,8,1000,8192,0,0,l2,0.90057,711,10
128,2,8,1000,8192,0,0,cos,0.90262,711,10
64,3,1,1000,8192,0,0,l2,0.90830,186,10
64,3,1,1000,8192,0,0,cos,0.90839,186,10
64,2,10,1000,8192,0,0,l2,0.92291,24,10
64,2,10,1000,8192,0,0,cos,0.92400,24,10
32,2,1,1000,8192,0,0,l2,0.91047,313,10
32,2,1,1000,8192,0,0,cos,0.90928,306,10
128,3,1,1000,8192,0,0,l2,0.91010,116,10
128,3,1,1000,8192,0,0,cos,0.90721,124,10
128,2,10,1000,8192,0,0,l2,0.90447,332,10
128,2,10,1000,8192,0,0,cos,0.90494,230,10
32,3,1,1000,8192,0,0,l2,0.91171,324,10
32,3,1,1000,8192,0,0,cos,0.90773,107,10
64,3,2,1000,8192,0,0,l2,0.91316,172,10
64,3,2,1000,8192,0,0,cos,0.91175,152,10
64,2,27,1000,8192,0,0,l2,0.89971,12,10
64,2,27,1000,8192,0,0,cos,0.90836,13,10
32,2,2,1000,8192,0,0,l2,0.89587,862,10
32,2,2,1000,8192,0,0,cos,0.89408,871,10
128,3,2,1000,8192,0,0,l2,0.91452,60,10
128,3,2,1000,8192,0,0,cos,0.91228,54,10
128,2,27,1000,8192,0,0,l2,0.91360,815,10
128,2,27,1000,8192,0,0,cos,0.91795,12,10
32,3,2,1000,8192,0,0,l2,0.90016,42,10
32,3,2,1000,8192,0,0,cos,0.90141,42,10
64,3,5,1000,8192,0,0,l2,0.92003,21,10
64,3,5,1000,8192,0,0,cos,0.91975,23,10
64,2,32,1000,8192,0,0,l2,0.89864,14,10
64,2,32,1000,8192,0,0,cos,0.90967,13,10
32,2,5,1000,8192,0,0,l2,0.91448,78,10
32,2,5,1000,8192,0,0,cos,0.91871,83,10
128,3,5,1000,8192,0,0,l2,0.91965,924,10
128,3,5,1000,8192,0,0,cos,0.92237,12,10
128,2,32,1000,8192,0,0,l2,0.91326,842,10
128,2,32,1000,8192,0,0,cos,0.91569,865,10
32,3,5,1000,8192,0,0,l2,0.91081,39,10
32,3,5,1000,8192,0,0,cos,0.91067,39,10
64,3,8,1000,8192,0,0,l2,0.90880,934,10
64,3,8,1000,8192,0,0,cos,0.91210,934,10
32,2,8,1000,8192,0,0,l2,0.89809,179,10
32,2,8,1000,8192,0,0,cos,0.89796,179,10
128,3,8,1000,8192,0,0,l2,0.90866,251,10
128,3,8,1000,8192,0,0,cos,0.91205,620,10
32,3,8,1000,8192,0,0,l2,0.91040,956,10
32,3,8,1000,8192,0,0,cos,0.91238,956,10
64,3,10,1000,8192,0,0,l2,0.90733,65,10
64,3,10,1000,8192,0,0,cos,0.90873,63,10
32,2,10,1000,8192,0,0,l2,0.91890,30,10
32,2,10,1000,8192,0,0,cos,0.92336,30,10
128,3,10,1000,8192,0,0,l2,0.91222,202,10
128,3,10,1000,8192,0,0,cos,0.91720,6,10
32,3,10,1000,8192,0,0,l2,0.91161,941,10
32,3,10,1000,8192,0,0,cos,0.91316,953,10
64,2,1,500,8192,0,0,l2,0.90356,190,10
64,2,1,500,8192,0,0,cos,0.90299,199,10
64,2,2,500,8192,0,0,l2,0.91420,149,10
64,2,2,500,8192,0,0,cos,0.91034,152,10
64,3,27,1000,8192,0,0,l2,0.91063,9,10
64,3,27,1000,8192,0,0,cos,0.91748,9,10
32,2,27,1000,8192,0,0,l2,0.92164,22,10
32,2,27,1000,8192,0,0,cos,0.92738,21,10
64,2,5,500,8192,0,0,l2,0.90495,32,10
64,2,5,500,8192,0,0,cos,0.90259,32,10
64,2,8,500,8192,0,0,l2,0.90915,374,10
64,2,8,500,8192,0,0,cos,0.91017,412,10
128,3,27,1000,8192,0,0,l2,0.91701,863,10
128,3,27,1000,8192,0,0,cos,0.92070,956,10
32,3,27,1000,8192,0,0,l2,0.90639,30,10
32,3,27,1000,8192,0,0,cos,0.91182,18,10
64,2,10,500,8192,0,0,l2,0.92291,24,10
64,2,10,500,8192,0,0,cos,0.92400,24,10
64,2,27,500,8192,0,0,l2,0.89971,12,10
64,2,27,500,8192,0,0,cos,0.90836,13,10
64,3,32,1000,8192,0,0,l2,0.90918,9,10
64,3,32,1000,8192,0,0,cos,0.91657,10,10
32,2,32,1000,8192,0,0,l2,0.92090,27,10
32,2,32,1000,8192,0,0,cos,0.92889,25,10
64,2,32,500,8192,0,0,l2,0.89864,14,10
64,2,32,500,8192,0,0,cos,0.90967,13,10
32,3,1,500,8192,0,0,l2,0.91171,324,10
32,3,1,500,8192,0,0,cos,0.90773,107,10
32,3,2,500,8192,0,0,l2,0.90016,42,10
32,3,2,500,8192,0,0,cos,0.90141,42,10
32,3,32,1000,8192,0,0,l2,0.91594,17,10
32,3,32,1000,8192,0,0,cos,0.92054,17,10
128,3,32,1000,8192,0,0,l2,0.91666,978,10
128,3,32,1000,8192,0,0,cos,0.92092,978,10
32,3,5,500,8192,0,0,l2,0.91081,39,10
32,3,5,500,8192,0,0,cos,0.91067,39,10
32,3,8,500,8192,0,0,l2,0.90285,95,10
32,3,8,500,8192,0,0,cos,0.90313,88,10
64,2,1,500,8192,0,0,l2,0.90690,497,30
64,2,1,500,8192,0,0,cos,0.90594,497,30
64,2,1,500,8192,0,0,l2,0.90902,494,50
64,2,1,500,8192,0,0,cos,0.90499,481,50
128,2,1,500,8192,0,0,l2,0.90897,265,10
128,2,1,500,8192,0,0,cos,0.90911,243,10
32,3,10,500,8192,0,0,l2,0.90701,494,10
32,3,10,500,8192,0,0,cos,0.90885,24,10
64,2,2,500,8192,0,0,l2,0.89843,139,30
64,2,2,500,8192,0,0,cos,0.90225,130,30
128,2,1,500,8192,0,0,l2,0.90728,283,50
128,2,1,500,8192,0,0,cos,0.90806,284,50
128,2,2,500,8192,0,0,l2,0.90422,28,10
128,2,2,500,8192,0,0,cos,0.90673,28,10
32,3,27,500,8192,0,0,l2,0.90639,30,10
32,3,27,500,8192,0,0,cos,0.91182,18,10
64,2,5,500,8192,0,0,l2,0.90193,173,30
64,2,5,500,8192,0,0,cos,0.90242,182,30
64,2,2,500,8192,0,0,l2,0.91293,101,50
64,2,2,500,8192,0,0,cos,0.91552,103,50
128,2,5,500,8192,0,0,l2,0.91133,67,10
128,2,5,500,8192,0,0,cos,0.91262,67,10
32,3,32,500,8192,0,0,l2,0.91594,17,10
32,3,32,500,8192,0,0,cos,0.92054,17,10
64,2,8,500,8192,0,0,l2,0.90913,11,30
64,2,8,500,8192,0,0,cos,0.90956,11,30
128,2,2,500,8192,0,0,l2,0.89743,80,50
128,2,2,500,8192,0,0,cos,0.90198,87,50
128,2,8,500,8192,0,0,l2,0.90016,393,10
128,2,8,500,8192,0,0,cos,0.90171,393,10
64,2,10,500,8192,0,0,l2,0.90071,12,30
64,2,10,500,8192,0,0,cos,0.90132,491,30
64,2,5,500,8192,0,0,l2,0.90810,45,50
64,2,5,500,8192,0,0,cos,0.90240,45,50
128,2,10,500,8192,0,0,l2,0.90447,332,10
128,2,10,500,8192,0,0,cos,0.90494,230,10
64,2,27,500,8192,0,0,l2,0.89800,40,30
64,2,27,500,8192,0,0,cos,0.89982,40,30
128,2,5,500,8192,0,0,l2,0.90739,469,50
128,2,5,500,8192,0,0,cos,0.90878,469,50
128,2,27,500,8192,0,0,l2,0.91350,12,10
128,2,27,500,8192,0,0,cos,0.91795,12,10
64,2,32,500,8192,0,0,l2,0.90283,12,30
64,2,32,500,8192,0,0,cos,0.91332,12,30
64,2,8,500,8192,0,0,l2,0.90919,42,50
64,2,8,500,8192,0,0,cos,0.90785,499,50
128,2,32,500,8192,0,0,l2,0.91230,379,10
128,2,32,500,8192,0,0,cos,0.91282,411,10
128,2,8,500,8192,0,0,l2,0.92361,23,50
128,2,8,500,8192,0,0,cos,0.92360,23,50
128,2,1,500,8192,0,0,l2,0.91205,366,30
128,2,1,500,8192,0,0,cos,0.91118,366,30
64,2,10,500,8192,0,0,l2,0.90597,396,50
64,2,10,500,8192,0,0,cos,0.90933,20,50
128,2,2,500,8192,0,0,l2,0.91172,134,30
128,2,2,500,8192,0,0,cos,0.91613,123,30
128,2,10,500,8192,0,0,l2,0.90918,264,50
128,2,10,500,8192,0,0,cos,0.91076,9,50
128,2,5,500,8192,0,0,l2,0.90103,480,30
128,2,5,500,8192,0,0,cos,0.90310,464,30
64,2,27,500,8192,0,0,l2,0.90864,11,50
64,2,27,500,8192,0,0,cos,0.91695,11,50
128,2,8,500,8192,0,0,l2,0.90575,431,30
128,2,8,500,8192,0,0,cos,0.90721,427,30
128,2,27,500,8192,0,0,l2,0.90460,482,50
128,2,27,500,8192,0,0,cos,0.90726,430,50
128,2,10,500,8192,0,0,l2,0.90349,455,30
128,2,10,500,8192,0,0,cos,0.90862,8,30
64,2,32,500,8192,0,0,l2,0.90889,12,50
64,2,32,500,8192,0,0,cos,0.91475,14,50
128,2,27,500,8192,0,0,l2,0.90731,361,30
128,2,27,500,8192,0,0,cos,0.91216,428,30
128,2,32,500,8192,0,0,l2,0.90895,7,50
128,2,32,500,8192,0,0,cos,0.91132,7,50
128,2,32,500,8192,0,0,l2,0.92372,8,30
128,2,32,500,8192,0,0,cos,0.92783,8,30
64,2,1,500,8192,0,0,l2,0.89910,320,20
64,2,1,500,8192,0,0,cos,0.90053,294,20
128,2,1,500,8192,0,0,l2,0.90396,353,20
128,2,1,500,8192,0,0,cos,0.90266,158,20
